Container Number,Size,Tare (kg),Terminal,Region,Type,Available From,Available To,Price (KRW),Remarks
CMAU3534060,40HQ,3900,BNCT,부산,외항,2025-06-27,,0,가격 문의 필요
CMAU9765139,20FT,2200,BCT,부산,외항,2025-06-03,,0,가격 문의 필요
MAEU2261829,20FT,2200,BCT,부산,외항,2025-06-12,,0,가격 문의 필요
YMLU9470240,40HQ,4200,IFT,인천,내항,2025-06-30,2025-07-05,42000,약한 스크래치 있음
EMCU9218090,40FT,3600,HBCT,부산,내항,2025-06-05,2025-06-09,50000,사전 연락 필수
ONEU1507387,20FT,2300,BPTG,부산,내항,2025-06-01,2025-06-05,50000,문짝 휘어짐 있음
OOLU6038567,20FT,2300,BNCT,부산,외항,2025-06-21,,0,가격 문의 필요
YMLU6146363,20FT,2400,KIT,광양,내항,2025-06-03,2025-06-06,50000,도장 벗겨짐 있음
ONEU1409504,40FT,3700,BPTG,부산,내항,2025-06-11,2025-06-15,42000,약한 스크래치 있음
FSCU5950771,40FT,3900,BNCT,부산,외항,2025-06-06,,0,가격 문의 필요
ONEU1414767,40FT,3700,IGCT,군산,내항,2025-06-28,2025-07-02,42000,약한 스크래치 있음
ONEU6942965,40HQ,3900,BPTS,부산,내항,2025-06-11,2025-06-14,47000,약한 스크래치 있음
YMLU1011025,40FT,3900,BPTG,부산,내항,2025-06-02,2025-06-05,42000,문짝 휘어짐 있음
TRIU2688341,40FT,3900,KIT,광양,내항,2025-06-04,2025-06-07,47000,문짝 휘어짐 있음
OOLU2401570,20FT,2400,E1CT,인천,내항,2025-06-10,2025-06-13,42000,1회 사용 신품급
EMCU4270400,40FT,3800,PNC,부산,외항,2025-06-26,,0,가격 문의 필요
EMCU2624642,40HQ,4200,JUCT,울산,내항,2025-06-12,2025-06-16,45000,주말 픽업 가능
TCLU1924685,20FT,2500,GWCT,광양,내항,2025-06-04,2025-06-08,45000,1회 사용 신품급
MSCU3918499,40HQ,3800,KIT,광양,내항,2025-06-06,2025-06-11,47000,약한 스크래치 있음
FSCU6791610,40HQ,4000,SNCT,인천,외항,2025-06-16,,0,가격 문의 필요
CMAU2234617,40HQ,4000,BCT,부산,외항,2025-06-23,,0,가격 문의 필요
MSCU4308269,20FT,2500,PNCT,평택,내항,2025-06-02,2025-06-07,50000,약한 스크래치 있음
OOLU4857830,40HQ,4000,BPTS,부산,내항,2025-06-30,2025-07-03,42000,도장 벗겨짐 있음
HMMU4165776,40FT,3700,PNCT,평택,내항,2025-06-01,2025-06-05,42000,사전 연락 필수
HMMU9566716,20FT,2100,IFT,인천,내항,2025-06-22,2025-06-27,50000,문짝 휘어짐 있음
HMMU5318371,40HQ,3800,GWCT,광양,내항,2025-06-03,2025-06-06,40000,문짝 휘어짐 있음
YMLU3795611,40HQ,4200,PNCT,평택,내항,2025-06-05,2025-06-10,47000,사전 연락 필수
HMMU7342861,20FT,2500,DGT,부산,외항,2025-06-28,,0,가격 문의 필요
MSCU4827446,40FT,3700,SNCT,인천,외항,2025-06-25,,0,가격 문의 필요
TRIU5668907,40FT,3600,BPTG,부산,내항,2025-06-27,2025-07-01,47000,주말 픽업 가능
YMLU1126065,40HQ,4000,BPTS,부산,내항,2025-06-01,2025-06-04,40000,도장 벗겨짐 있음
EMCU2814059,40HQ,3900,HJIT,인천,외항,2025-06-04,,0,가격 문의 필요
ONEU7888439,40FT,3600,IFT,인천,내항,2025-06-22,2025-06-27,45000,주말 픽업 가능
HMMU1949951,40HQ,4200,E1CT,인천,내항,2025-06-20,2025-06-24,40000,도장 벗겨짐 있음
FSCU2794839,40FT,3700,KIT,광양,내항,2025-06-01,2025-06-04,50000,주말 픽업 가능
MAEU5910534,40FT,4000,IFT,인천,내항,2025-06-05,2025-06-10,50000,주말 픽업 가능
CMAU8522446,20FT,2100,PNC,부산,외항,2025-06-13,,0,가격 문의 필요
TRIU5044534,40HQ,3900,JUCT,울산,내항,2025-06-30,2025-07-05,47000,도장 벗겨짐 있음
TRIU7613000,20FT,2100,TOC,부산,내항,2025-06-05,2025-06-08,40000,사전 연락 필수
FSCU8014154,40FT,3900,HBCT,부산,내항,2025-06-20,2025-06-24,45000,직거래 우선 선호
EMCU1354981,20FT,2500,IFT,인천,내항,2025-06-29,2025-07-03,40000,사전 연락 필수
FSCU8968639,20FT,2200,PNC,부산,외항,2025-06-03,,0,가격 문의 필요
TCLU3497204,40HQ,4100,PCTC,평택,내항,2025-06-03,2025-06-08,47000,1회 사용 신품급
YMLU3174972,40HQ,3900,BPTS,부산,내항,2025-06-15,2025-06-18,40000,문짝 휘어짐 있음
MSCU6146202,20FT,2200,HJIT,인천,외항,2025-06-14,,0,가격 문의 필요
FSCU7595356,20FT,2100,DGT,부산,외항,2025-06-02,,0,가격 문의 필요
YMLU5648707,20FT,2100,BCT,부산,외항,2025-06-14,,0,가격 문의 필요
MAEU6197472,20FT,2200,SNCT,인천,외항,2025-06-09,,0,가격 문의 필요
TCLU4747173,20FT,2100,PNCT,평택,내항,2025-06-06,2025-06-10,47000,주말 픽업 가능
TCLU4482789,20FT,2400,BPTG,부산,내항,2025-06-09,2025-06-13,50000,도장 벗겨짐 있음
YMLU4410994,40FT,3700,UNCT,울산,내항,2025-06-24,2025-06-28,42000,사전 연락 필수
ONEU7037807,40HQ,3800,PNCT,평택,내항,2025-06-29,2025-07-02,40000,문짝 휘어짐 있음
FSCU7968346,40HQ,4000,PNC,부산,외항,2025-06-07,,0,가격 문의 필요
YMLU9521258,40FT,4000,PCTC,평택,내항,2025-06-18,2025-06-23,42000,주말 픽업 가능
MSCU2240314,40HQ,4100,BCT,부산,외항,2025-06-05,,0,가격 문의 필요
TCLU4886237,20FT,2400,IFT,인천,내항,2025-06-21,2025-06-26,40000,문짝 휘어짐 있음
FSCU4210729,20FT,2400,ICT,인천,내항,2025-06-07,2025-06-12,45000,내부 청결 양호
MSCU9714763,40HQ,4000,BPTG,부산,내항,2025-06-17,2025-06-22,42000,약한 스크래치 있음
ONEU5061322,40FT,3700,HBCT,부산,내항,2025-06-11,2025-06-16,40000,문짝 휘어짐 있음
YMLU3207072,20FT,2200,PNCT,평택,내항,2025-06-24,2025-06-28,42000,사전 연락 필수
TRIU3249169,40FT,3900,IGCT,군산,내항,2025-06-07,2025-06-11,50000,약한 스크래치 있음
OOLU5136595,40HQ,3800,ICT,인천,내항,2025-06-25,2025-06-29,42000,사전 연락 필수
OOLU4113642,40FT,3600,BNCT,부산,외항,2025-06-05,,0,가격 문의 필요
TCLU4566510,40FT,3900,E1CT,인천,내항,2025-06-27,2025-07-01,45000,문짝 휘어짐 있음
EMCU8456876,40FT,4000,E1CT,인천,내항,2025-06-22,2025-06-25,47000,1회 사용 신품급
FSCU5990208,20FT,2400,DGT,부산,외항,2025-06-14,,0,가격 문의 필요
HMMU5742626,20FT,2100,BCT,부산,외항,2025-06-28,,0,가격 문의 필요
ONEU4190567,20FT,2500,IFT,인천,내항,2025-06-18,2025-06-21,45000,사전 연락 필수
HMMU5167149,40FT,3600,HBCT,부산,내항,2025-06-19,2025-06-22,45000,내부 청결 양호
YMLU7687813,20FT,2100,BPTG,부산,내항,2025-06-26,2025-06-29,47000,도장 벗겨짐 있음
FSCU4555414,40HQ,3900,JUCT,울산,내항,2025-06-02,2025-06-05,50000,약한 스크래치 있음
MAEU2413916,40HQ,4000,KIT,광양,내항,2025-06-09,2025-06-13,45000,직거래 우선 선호
OOLU1297971,40FT,3600,HJIT,인천,외항,2025-06-14,,0,가격 문의 필요
TRIU5227384,40HQ,4200,E1CT,인천,내항,2025-06-11,2025-06-14,42000,내부 청결 양호
ONEU1942131,40HQ,4000,HJIT,인천,외항,2025-06-19,,0,가격 문의 필요
MAEU1208766,20FT,2100,PCTC,평택,내항,2025-06-28,2025-07-02,40000,직거래 우선 선호
MAEU9982168,40HQ,4200,ICT,인천,내항,2025-06-25,2025-06-29,42000,약한 스크래치 있음
OOLU4827832,40FT,3800,IGCT,군산,내항,2025-06-30,2025-07-03,50000,문짝 휘어짐 있음
ONEU9136151,40FT,3600,TOC,부산,내항,2025-06-26,2025-06-30,42000,내부 청결 양호
TCLU2513990,20FT,2200,PNC,부산,외항,2025-06-22,,0,가격 문의 필요
YMLU4156469,20FT,2500,SNCT,인천,외항,2025-06-18,,0,가격 문의 필요
CMAU6638978,20FT,2300,JUCT,울산,내항,2025-06-02,2025-06-07,45000,내부 청결 양호
FSCU7284708,40HQ,4100,PCTC,평택,내항,2025-06-24,2025-06-27,40000,문짝 휘어짐 있음
YMLU9939407,20FT,2500,KIT,광양,내항,2025-06-05,2025-06-09,42000,도장 벗겨짐 있음
FSCU9165105,20FT,2100,KIT,광양,내항,2025-06-02,2025-06-06,42000,직거래 우선 선호
CMAU2007962,40HQ,3800,E1CT,인천,내항,2025-06-20,2025-06-24,42000,1회 사용 신품급
TRIU8829065,40FT,3700,BPTS,부산,내항,2025-06-26,2025-06-29,50000,약한 스크래치 있음
MSCU9487789,40HQ,4200,PNC,부산,외항,2025-06-30,,0,가격 문의 필요
MSCU1931493,40HQ,4200,BPTG,부산,내항,2025-06-11,2025-06-15,50000,1회 사용 신품급
FSCU6226664,40HQ,4000,E1CT,인천,내항,2025-06-30,2025-07-03,45000,문짝 휘어짐 있음
CMAU1840912,20FT,2500,PNC,부산,외항,2025-06-04,,0,가격 문의 필요
FSCU7422340,40FT,3600,SNCT,인천,외항,2025-06-28,,0,가격 문의 필요
CMAU4617987,20FT,2400,PNIT,부산,외항,2025-06-17,,0,가격 문의 필요
CMAU3989433,40FT,3700,PNIT,부산,외항,2025-06-01,,0,가격 문의 필요
TRIU3171552,20FT,2400,KIT,광양,내항,2025-06-24,2025-06-28,50000,사전 연락 필수
TRIU6132185,20FT,2400,TOC,부산,내항,2025-06-09,2025-06-13,47000,도장 벗겨짐 있음
TCLU1773039,40HQ,3800,TOC,부산,내항,2025-06-01,2025-06-04,45000,도장 벗겨짐 있음
OOLU2572233,40HQ,3900,IFT,인천,내항,2025-06-11,2025-06-15,40000,도장 벗겨짐 있음
MSCU6941278,40FT,4000,PNIT,부산,외항,2025-06-12,,0,가격 문의 필요
MSCU8848325,20FT,2400,BPTG,부산,내항,2025-06-17,2025-06-22,47000,도장 벗겨짐 있음
OOLU7978010,40FT,3600,BNCT,부산,외항,2025-06-26,,0,가격 문의 필요
TRIU2818491,20FT,2400,IFT,인천,내항,2025-06-09,2025-06-14,45000,사전 연락 필수
HMMU4523103,20FT,2400,ICT,인천,내항,2025-06-07,2025-06-12,47000,문짝 휘어짐 있음
TCLU4723493,40HQ,3800,GWCT,광양,내항,2025-06-27,2025-07-01,42000,1회 사용 신품급
TCLU3852443,40HQ,3900,PNIT,부산,외항,2025-06-02,,0,가격 문의 필요
MAEU1882883,40FT,3800,PNIT,부산,외항,2025-06-30,,0,가격 문의 필요
MSCU1439392,40FT,3600,IGCT,군산,내항,2025-06-17,2025-06-22,45000,약한 스크래치 있음
TCLU2355436,40FT,3900,PNCT,평택,내항,2025-06-15,2025-06-19,42000,약한 스크래치 있음
HMMU3639187,40FT,3900,GWCT,광양,내항,2025-06-17,2025-06-20,50000,주말 픽업 가능
YMLU6307649,40FT,3600,BPTS,부산,내항,2025-06-13,2025-06-17,40000,직거래 우선 선호
CMAU6692580,40FT,3600,BNCT,부산,외항,2025-06-25,,0,가격 문의 필요
MAEU1179310,40FT,3700,SNCT,인천,외항,2025-06-24,,0,가격 문의 필요
OOLU3538980,20FT,2500,PNC,부산,외항,2025-06-20,,0,가격 문의 필요
MSCU5870277,40HQ,4100,IFT,인천,내항,2025-06-01,2025-06-04,42000,1회 사용 신품급
ONEU6037992,40FT,3800,E1CT,인천,내항,2025-06-28,2025-07-02,47000,도장 벗겨짐 있음
TCLU8308253,40HQ,3800,TOC,부산,내항,2025-06-28,2025-07-01,47000,주말 픽업 가능
MAEU5068523,20FT,2200,GWCT,광양,내항,2025-06-14,2025-06-18,42000,주말 픽업 가능
MAEU2294290,20FT,2300,PNC,부산,외항,2025-06-27,,0,가격 문의 필요
FSCU1362672,20FT,2400,PNC,부산,외항,2025-06-24,,0,가격 문의 필요
CMAU7564130,40HQ,4000,TOC,부산,내항,2025-06-03,2025-06-07,40000,내부 청결 양호
CMAU3252222,40HQ,3800,DGT,부산,외항,2025-06-16,,0,가격 문의 필요
ONEU3257300,40HQ,4200,ICT,인천,내항,2025-06-04,2025-06-09,42000,문짝 휘어짐 있음
EMCU8129030,20FT,2100,BCT,부산,외항,2025-06-27,,0,가격 문의 필요
ONEU7345374,40HQ,4100,BPTG,부산,내항,2025-06-18,2025-06-23,45000,내부 청결 양호
FSCU6046692,40FT,3600,DGT,부산,외항,2025-06-12,,0,가격 문의 필요
ONEU4220235,20FT,2300,BCT,부산,외항,2025-06-14,,0,가격 문의 필요
MSCU7871566,40FT,3600,BPTS,부산,내항,2025-06-21,2025-06-24,47000,도장 벗겨짐 있음
TRIU5063058,40FT,3600,HBCT,부산,내항,2025-06-13,2025-06-17,40000,주말 픽업 가능
CMAU8707720,20FT,2400,TOC,부산,내항,2025-06-30,2025-07-05,50000,도장 벗겨짐 있음
TRIU6146569,40HQ,4000,PCTC,평택,내항,2025-06-14,2025-06-17,42000,직거래 우선 선호
TRIU6338618,20FT,2300,SNCT,인천,외항,2025-06-17,,0,가격 문의 필요
MSCU1021861,40HQ,3900,BPTG,부산,내항,2025-06-06,2025-06-09,45000,주말 픽업 가능
YMLU4745444,40HQ,3800,PNC,부산,외항,2025-06-12,,0,가격 문의 필요
TCLU2584586,20FT,2500,TOC,부산,내항,2025-06-25,2025-06-28,40000,주말 픽업 가능
MSCU4549166,40FT,3800,UNCT,울산,내항,2025-06-02,2025-06-07,47000,문짝 휘어짐 있음
EMCU2634182,20FT,2300,HJIT,인천,외항,2025-06-24,,0,가격 문의 필요
CMAU7589093,40HQ,4200,SNCT,인천,외항,2025-06-09,,0,가격 문의 필요
MAEU1300357,40HQ,3900,PNCT,평택,내항,2025-06-05,2025-06-08,45000,약한 스크래치 있음
EMCU5565877,40HQ,4200,JUCT,울산,내항,2025-06-25,2025-06-29,45000,약한 스크래치 있음
TCLU6700621,40HQ,4200,DGT,부산,외항,2025-06-29,,0,가격 문의 필요
HMMU9064932,40HQ,3800,TOC,부산,내항,2025-06-22,2025-06-27,50000,문짝 휘어짐 있음
ONEU5384748,40FT,3800,DGT,부산,외항,2025-06-26,,0,가격 문의 필요
YMLU7738316,40HQ,3800,E1CT,인천,내항,2025-06-22,2025-06-26,45000,직거래 우선 선호
YMLU6818950,20FT,2400,JUCT,울산,내항,2025-06-06,2025-06-09,50000,문짝 휘어짐 있음
ONEU1472633,40FT,3700,DGT,부산,외항,2025-06-27,,0,가격 문의 필요
CMAU8552166,20FT,2300,HJIT,인천,외항,2025-06-27,,0,가격 문의 필요
ONEU9481273,40FT,4000,DGT,부산,외항,2025-06-21,,0,가격 문의 필요
EMCU7034318,20FT,2400,BCT,부산,외항,2025-06-20,,0,가격 문의 필요
MAEU8309643,40HQ,3900,UNCT,울산,내항,2025-06-18,2025-06-21,40000,사전 연락 필수
FSCU1889023,40HQ,3900,BCT,부산,외항,2025-06-19,,0,가격 문의 필요
OOLU1032910,40FT,3700,BPTG,부산,내항,2025-06-26,2025-06-29,45000,내부 청결 양호
CMAU1677900,20FT,2500,HBCT,부산,내항,2025-06-11,2025-06-14,40000,직거래 우선 선호
OOLU8483754,40HQ,4100,PCTC,평택,내항,2025-06-04,2025-06-09,50000,사전 연락 필수
YMLU2763996,40HQ,4100,PNCT,평택,내항,2025-06-21,2025-06-24,50000,문짝 휘어짐 있음
TCLU5673966,40HQ,4200,HBCT,부산,내항,2025-06-12,2025-06-15,50000,문짝 휘어짐 있음
CMAU7987743,40HQ,3900,IFT,인천,내항,2025-06-21,2025-06-25,42000,문짝 휘어짐 있음
FSCU7062481,40FT,3700,KIT,광양,내항,2025-06-05,2025-06-09,45000,1회 사용 신품급
YMLU5808713,40FT,3600,PNC,부산,외항,2025-06-11,,0,가격 문의 필요
ONEU6161357,40HQ,3800,PCTC,평택,내항,2025-06-19,2025-06-23,42000,1회 사용 신품급
MAEU1177133,40HQ,4000,SNCT,인천,외항,2025-06-23,,0,가격 문의 필요
OOLU4556369,40FT,3700,BPTG,부산,내항,2025-06-01,2025-06-04,40000,약한 스크래치 있음
TCLU5413722,40FT,3700,PNIT,부산,외항,2025-06-14,,0,가격 문의 필요
MSCU7446229,40HQ,3800,JUCT,울산,내항,2025-06-05,2025-06-10,40000,직거래 우선 선호
CMAU8579429,40FT,4000,PCTC,평택,내항,2025-06-13,2025-06-16,40000,내부 청결 양호
CMAU8138605,40FT,3700,BNCT,부산,외항,2025-06-05,,0,가격 문의 필요
HMMU9755588,40HQ,3900,TOC,부산,내항,2025-06-30,2025-07-05,50000,1회 사용 신품급
MSCU4631676,20FT,2200,DGT,부산,외항,2025-06-13,,0,가격 문의 필요
TRIU2512137,20FT,2400,TOC,부산,내항,2025-06-28,2025-07-03,40000,직거래 우선 선호
FSCU9432035,40FT,4000,ICT,인천,내항,2025-06-25,2025-06-28,50000,직거래 우선 선호
FSCU5952203,40HQ,3900,PNIT,부산,외항,2025-06-10,,0,가격 문의 필요
TCLU8513351,20FT,2200,BNCT,부산,외항,2025-06-20,,0,가격 문의 필요
CMAU6629057,40HQ,3900,PCTC,평택,내항,2025-06-05,2025-06-08,45000,도장 벗겨짐 있음
OOLU4102416,20FT,2500,HBCT,부산,내항,2025-06-19,2025-06-23,40000,문짝 휘어짐 있음
ONEU1537646,20FT,2400,BPTG,부산,내항,2025-06-05,2025-06-10,40000,사전 연락 필수
TCLU3049271,40HQ,4000,PNC,부산,외항,2025-06-25,,0,가격 문의 필요
EMCU6222544,40FT,3900,HBCT,부산,내항,2025-06-19,2025-06-24,47000,직거래 우선 선호
OOLU6027321,20FT,2400,TOC,부산,내항,2025-06-24,2025-06-29,42000,약한 스크래치 있음
YMLU9414968,20FT,2300,IFT,인천,내항,2025-06-17,2025-06-21,45000,내부 청결 양호
MAEU3834921,40HQ,4200,BPTG,부산,내항,2025-06-20,2025-06-24,40000,문짝 휘어짐 있음
TRIU5288186,40HQ,4200,ICT,인천,내항,2025-06-22,2025-06-26,47000,약한 스크래치 있음
YMLU7199042,40FT,3700,PNCT,평택,내항,2025-06-21,2025-06-25,40000,사전 연락 필수
TCLU8444542,40HQ,3800,BPTS,부산,내항,2025-06-14,2025-06-19,47000,사전 연락 필수
CMAU1189618,20FT,2200,UNCT,울산,내항,2025-06-05,2025-06-09,42000,내부 청결 양호
YMLU1154648,20FT,2500,TOC,부산,내항,2025-06-06,2025-06-09,42000,주말 픽업 가능
HMMU5816083,20FT,2100,UNCT,울산,내항,2025-06-03,2025-06-07,40000,주말 픽업 가능
ONEU8792872,40HQ,4200,UNCT,울산,내항,2025-06-21,2025-06-25,40000,직거래 우선 선호
MSCU8250993,40HQ,4200,ICT,인천,내항,2025-06-12,2025-06-16,47000,1회 사용 신품급
ONEU9080341,20FT,2100,KIT,광양,내항,2025-06-19,2025-06-23,50000,사전 연락 필수
HMMU6472254,40HQ,3800,SNCT,인천,외항,2025-06-01,,0,가격 문의 필요
YMLU3181300,40HQ,4000,HBCT,부산,내항,2025-06-27,2025-06-30,40000,사전 연락 필수
MSCU7427360,40FT,3600,BPTG,부산,내항,2025-06-11,2025-06-14,47000,주말 픽업 가능
TRIU3493506,40HQ,4200,IGCT,군산,내항,2025-06-17,2025-06-20,50000,직거래 우선 선호
OOLU3990500,20FT,2400,PCTC,평택,내항,2025-06-17,2025-06-22,45000,1회 사용 신품급
FSCU2207415,20FT,2300,BPTS,부산,내항,2025-06-16,2025-06-21,40000,내부 청결 양호
MAEU2571115,40HQ,4200,PNCT,평택,내항,2025-06-07,2025-06-10,40000,1회 사용 신품급
OOLU5738087,40HQ,3800,HJIT,인천,외항,2025-06-09,,0,가격 문의 필요
TCLU4667837,40FT,4000,PCTC,평택,내항,2025-06-11,2025-06-14,40000,사전 연락 필수
TRIU1800063,20FT,2300,DGT,부산,외항,2025-06-05,,0,가격 문의 필요
TRIU5030660,20FT,2500,PCTC,평택,내항,2025-06-02,2025-06-05,47000,도장 벗겨짐 있음
CMAU5172765,40FT,3700,DGT,부산,외항,2025-06-01,,0,가격 문의 필요
YMLU9719606,40HQ,3800,BPTS,부산,내항,2025-06-12,2025-06-15,47000,도장 벗겨짐 있음
OOLU2350252,40HQ,3800,PNIT,부산,외항,2025-06-03,,0,가격 문의 필요
EMCU2192561,40FT,3800,BPTS,부산,내항,2025-06-06,2025-06-11,47000,문짝 휘어짐 있음
EMCU5569040,20FT,2400,KIT,광양,내항,2025-06-05,2025-06-10,40000,주말 픽업 가능
CMAU5480773,40HQ,4000,IFT,인천,내항,2025-06-21,2025-06-25,50000,도장 벗겨짐 있음
CMAU9018474,40HQ,4100,UNCT,울산,내항,2025-06-28,2025-07-03,40000,도장 벗겨짐 있음
ONEU1641818,40HQ,4000,TOC,부산,내항,2025-06-03,2025-06-06,47000,내부 청결 양호
CMAU6055397,40FT,3600,GWCT,광양,내항,2025-06-23,2025-06-28,42000,도장 벗겨짐 있음
FSCU2983086,20FT,2400,IGCT,군산,내항,2025-06-02,2025-06-05,47000,문짝 휘어짐 있음
MAEU2107480,40FT,4000,IFT,인천,내항,2025-06-24,2025-06-28,40000,문짝 휘어짐 있음
MAEU3332116,40FT,4000,E1CT,인천,내항,2025-06-05,2025-06-08,47000,직거래 우선 선호
ONEU2649687,40HQ,3800,UNCT,울산,내항,2025-06-07,2025-06-11,45000,도장 벗겨짐 있음
TCLU1623044,40FT,3600,PNIT,부산,외항,2025-06-15,,0,가격 문의 필요
OOLU5473036,40HQ,4100,SNCT,인천,외항,2025-06-23,,0,가격 문의 필요
CMAU2445794,40FT,3600,DGT,부산,외항,2025-06-08,,0,가격 문의 필요
CMAU7931915,20FT,2400,IGCT,군산,내항,2025-06-05,2025-06-10,45000,약한 스크래치 있음
FSCU4497819,40HQ,3800,GWCT,광양,내항,2025-06-20,2025-06-24,40000,도장 벗겨짐 있음
HMMU5699540,40HQ,3800,HJIT,인천,외항,2025-06-03,,0,가격 문의 필요
ONEU7537665,40HQ,4000,PNIT,부산,외항,2025-06-28,,0,가격 문의 필요
HMMU7535413,40FT,4000,DGT,부산,외항,2025-06-07,,0,가격 문의 필요
CMAU4884534,40HQ,4200,PCTC,평택,내항,2025-06-02,2025-06-06,47000,약한 스크래치 있음
MAEU6558327,40FT,4000,BCT,부산,외항,2025-06-27,,0,가격 문의 필요
