Container Number,Size,Tare (kg),Terminal,Region,Type,Available From,Available To,Price (KRW),Remarks
TCLU6467894,40FT,3900,HJIT,인천,외항,2025-06-14,,0,가격 문의 필요
OOLU4075555,40FT,3700,IFT,인천,내항,2025-06-24,2025-06-27,50000,빠른 픽업 가능
YMLU2801054,20FT,2200,BNCT,부산,외항,2025-06-25,,0,가격 문의 필요
OOLU1404857,20FT,2400,TOC,부산,내항,2025-06-22,2025-06-27,45000,확정 이후 연락
ONEU2241413,40FT,4000,KIT,광양,내항,2025-06-17,2025-06-21,47000,야간 불가
ONEU6868385,40FT,3800,PNCT,평택,내항,2025-06-06,2025-06-11,40000,확정 이후 연락
OOLU1795692,20FT,2200,PNIT,부산,외항,2025-06-24,,0,가격 문의 필요
MSCU7094682,40HQ,4200,E1CT,인천,내항,2025-06-09,2025-06-14,47000,전화 요망
HMMU8236684,40FT,4000,GWCT,광양,내항,2025-06-02,2025-06-07,50000,확정 이후 연락
TCLU6539086,20FT,2100,ICT,인천,내항,2025-06-04,2025-06-09,50000,야간 불가
EMCU3553271,20FT,2500,IGCT,군산,내항,2025-06-20,2025-06-23,45000,빠른 픽업 가능
HMMU2355008,40HQ,4200,SNCT,인천,외항,2025-06-09,,0,가격 문의 필요
TRIU5250658,40FT,3800,BPTS,부산,내항,2025-06-21,2025-06-25,50000,확정 이후 연락
EMCU5293250,20FT,2400,UNCT,울산,내항,2025-06-16,2025-06-21,47000,전화 요망
ONEU6436523,20FT,2300,KIT,광양,내항,2025-06-17,2025-06-20,45000,확정 이후 연락
TRIU1376058,40HQ,4200,HBCT,부산,내항,2025-06-30,2025-07-05,42000,확정 이후 연락
CMAU3122877,40HQ,4200,BPTG,부산,내항,2025-06-02,2025-06-07,47000,빠른 픽업 가능
EMCU1182022,40HQ,3900,IGCT,군산,내항,2025-06-25,2025-06-28,42000,빠른 픽업 가능
MAEU4660036,40FT,3900,E1CT,인천,내항,2025-06-18,2025-06-22,47000,확정 이후 연락
MAEU9866254,20FT,2400,KIT,광양,내항,2025-06-11,2025-06-14,47000,전화 요망
FSCU1731105,40HQ,4200,GWCT,광양,내항,2025-06-11,2025-06-15,50000,야간 불가
HMMU7627724,40HQ,4100,BNCT,부산,외항,2025-06-09,,0,가격 문의 필요
FSCU9635763,40HQ,4100,BPTG,부산,내항,2025-06-08,2025-06-11,42000,야간 불가
EMCU5237894,20FT,2200,DGT,부산,외항,2025-06-16,,0,가격 문의 필요
TCLU2718002,20FT,2300,PNC,부산,외항,2025-06-13,,0,가격 문의 필요
YMLU3775080,40FT,4000,UNCT,울산,내항,2025-06-01,2025-06-06,50000,전화 요망
MAEU9014127,20FT,2500,BPTS,부산,내항,2025-06-18,2025-06-21,45000,확정 이후 연락
EMCU7180235,40HQ,4200,PNCT,평택,내항,2025-06-25,2025-06-30,40000,야간 불가
TRIU2195432,40HQ,4000,IFT,인천,내항,2025-06-24,2025-06-28,45000,전화 요망
TCLU5118187,40FT,4000,ICT,인천,내항,2025-06-03,2025-06-08,47000,확정 이후 연락
MSCU2716323,20FT,2400,BCT,부산,외항,2025-06-23,,0,가격 문의 필요
MAEU5190266,20FT,2200,BPTS,부산,내항,2025-06-11,2025-06-15,40000,전화 요망
ONEU5485384,40HQ,4000,PNC,부산,외항,2025-06-18,,0,가격 문의 필요
HMMU9187670,40HQ,4200,BNCT,부산,외항,2025-06-23,,0,가격 문의 필요
MAEU6327393,40FT,3700,UNCT,울산,내항,2025-06-18,2025-06-23,42000,빠른 픽업 가능
MSCU2686623,20FT,2500,PNIT,부산,외항,2025-06-03,,0,가격 문의 필요
YMLU2384332,40HQ,4000,PCTC,평택,내항,2025-06-20,2025-06-24,50000,확정 이후 연락
CMAU7472070,20FT,2500,PCTC,평택,내항,2025-06-02,2025-06-05,40000,빠른 픽업 가능
TRIU5065555,20FT,2100,BNCT,부산,외항,2025-06-24,,0,가격 문의 필요
MSCU7173082,20FT,2400,PNCT,평택,내항,2025-06-11,2025-06-16,50000,빠른 픽업 가능
EMCU5127450,40HQ,4000,PNCT,평택,내항,2025-06-27,2025-07-01,40000,빠른 픽업 가능
ONEU9088123,40HQ,4000,PNIT,부산,외항,2025-06-05,,0,가격 문의 필요
ONEU5317268,40FT,4000,PNC,부산,외항,2025-06-05,,0,가격 문의 필요
MSCU5979018,20FT,2500,BNCT,부산,외항,2025-06-04,,0,가격 문의 필요
ONEU7130102,40HQ,3900,PCTC,평택,내항,2025-06-20,2025-06-23,47000,빠른 픽업 가능
HMMU5456682,40FT,3600,BPTG,부산,내항,2025-06-22,2025-06-27,47000,전화 요망
TRIU8968832,20FT,2200,DGT,부산,외항,2025-06-06,,0,가격 문의 필요
TRIU8769383,40FT,3600,BNCT,부산,외항,2025-06-23,,0,가격 문의 필요
HMMU9067245,20FT,2200,PNC,부산,외항,2025-06-19,,0,가격 문의 필요
MAEU6017885,20FT,2400,BPTG,부산,내항,2025-06-10,2025-06-13,45000,전화 요망
CMAU1517846,40FT,4000,PCTC,평택,내항,2025-06-14,2025-06-18,50000,야간 불가
TRIU6481283,20FT,2200,UNCT,울산,내항,2025-06-10,2025-06-14,40000,전화 요망
ONEU6668516,20FT,2200,DGT,부산,외항,2025-06-14,,0,가격 문의 필요
HMMU1499303,40FT,4000,SNCT,인천,외항,2025-06-26,,0,가격 문의 필요
MSCU6540228,40FT,4000,IGCT,군산,내항,2025-06-24,2025-06-28,42000,빠른 픽업 가능
YMLU5695785,40FT,4000,TOC,부산,내항,2025-06-16,2025-06-21,42000,야간 불가
YMLU2229029,40HQ,3900,BPTS,부산,내항,2025-06-04,2025-06-08,50000,빠른 픽업 가능
OOLU9910918,40FT,4000,SNCT,인천,외항,2025-06-08,,0,가격 문의 필요
FSCU8602655,20FT,2400,HBCT,부산,내항,2025-06-02,2025-06-06,47000,야간 불가
OOLU8913360,40FT,3700,E1CT,인천,내항,2025-06-27,2025-07-02,47000,빠른 픽업 가능
FSCU4849458,20FT,2400,BCT,부산,외항,2025-06-07,,0,가격 문의 필요
HMMU2062415,40HQ,4000,KIT,광양,내항,2025-06-02,2025-06-05,42000,빠른 픽업 가능
MAEU8857124,40FT,3600,PNIT,부산,외항,2025-06-05,,0,가격 문의 필요
ONEU7170254,20FT,2300,KIT,광양,내항,2025-06-15,2025-06-19,45000,전화 요망
EMCU6612448,40FT,4000,BPTS,부산,내항,2025-06-18,2025-06-23,50000,빠른 픽업 가능
YMLU6253711,40FT,3600,E1CT,인천,내항,2025-06-23,2025-06-27,50000,확정 이후 연락
HMMU2598169,20FT,2400,BNCT,부산,외항,2025-06-03,,0,가격 문의 필요
TCLU6639222,20FT,2100,PNIT,부산,외항,2025-06-25,,0,가격 문의 필요
MSCU3943098,20FT,2400,UNCT,울산,내항,2025-06-14,2025-06-18,45000,빠른 픽업 가능
MAEU5434973,40FT,3900,BCT,부산,외항,2025-06-14,,0,가격 문의 필요
EMCU8076815,40FT,3900,BCT,부산,외항,2025-06-12,,0,가격 문의 필요
TCLU5653929,40HQ,3900,HBCT,부산,내항,2025-06-07,2025-06-11,45000,야간 불가
EMCU9271660,40HQ,4200,E1CT,인천,내항,2025-06-19,2025-06-24,47000,전화 요망
TRIU2970960,40HQ,3800,UNCT,울산,내항,2025-06-26,2025-06-30,50000,확정 이후 연락
YMLU7669136,20FT,2400,BCT,부산,외항,2025-06-01,,0,가격 문의 필요
MSCU5009958,40HQ,4100,PNCT,평택,내항,2025-06-05,2025-06-09,50000,야간 불가
EMCU2540797,40FT,4000,HBCT,부산,내항,2025-06-06,2025-06-09,42000,전화 요망
FSCU3655916,40FT,3800,ICT,인천,내항,2025-06-06,2025-06-11,45000,전화 요망
TCLU2390430,40FT,4000,HBCT,부산,내항,2025-06-21,2025-06-26,50000,확정 이후 연락
EMCU7601906,40HQ,4100,JUCT,울산,내항,2025-06-24,2025-06-28,47000,전화 요망
ONEU9673804,40FT,3900,ICT,인천,내항,2025-06-11,2025-06-15,47000,확정 이후 연락
MAEU2879060,20FT,2400,E1CT,인천,내항,2025-06-11,2025-06-14,50000,전화 요망
CMAU9890137,20FT,2500,IFT,인천,내항,2025-06-01,2025-06-06,47000,야간 불가
EMCU4432768,40HQ,4000,BPTS,부산,내항,2025-06-24,2025-06-27,47000,야간 불가
TCLU9429115,40HQ,3800,BNCT,부산,외항,2025-06-14,,0,가격 문의 필요
CMAU8017761,20FT,2400,E1CT,인천,내항,2025-06-18,2025-06-21,47000,전화 요망
EMCU5976335,40FT,3900,JUCT,울산,내항,2025-06-08,2025-06-11,45000,확정 이후 연락
MSCU9750162,20FT,2100,BCT,부산,외항,2025-06-09,,0,가격 문의 필요
YMLU1503338,20FT,2300,GWCT,광양,내항,2025-06-17,2025-06-21,42000,확정 이후 연락
CMAU8454920,40FT,3600,JUCT,울산,내항,2025-06-19,2025-06-23,45000,빠른 픽업 가능
EMCU2270614,40HQ,4200,BCT,부산,외항,2025-06-14,,0,가격 문의 필요
EMCU9798575,40FT,3600,PNC,부산,외항,2025-06-19,,0,가격 문의 필요
ONEU3641347,40FT,3600,BCT,부산,외항,2025-06-26,,0,가격 문의 필요
FSCU1437566,40FT,3900,DGT,부산,외항,2025-06-06,,0,가격 문의 필요
OOLU3331945,40HQ,3800,HBCT,부산,내항,2025-06-23,2025-06-27,40000,확정 이후 연락
OOLU1681021,40HQ,4000,BNCT,부산,외항,2025-06-28,,0,가격 문의 필요
OOLU1767455,40FT,3600,SNCT,인천,외항,2025-06-30,,0,가격 문의 필요
TCLU8692704,40HQ,4100,TOC,부산,내항,2025-06-24,2025-06-29,45000,야간 불가
OOLU7707094,40HQ,3800,HBCT,부산,내항,2025-06-10,2025-06-13,40000,빠른 픽업 가능
TRIU6498720,40FT,3600,BCT,부산,외항,2025-06-11,,0,가격 문의 필요
OOLU3662061,20FT,2300,HBCT,부산,내항,2025-06-18,2025-06-23,47000,전화 요망
YMLU1671347,40FT,3800,GWCT,광양,내항,2025-06-02,2025-06-05,42000,야간 불가
FSCU3552992,40HQ,3900,IGCT,군산,내항,2025-06-27,2025-07-01,42000,야간 불가
TRIU9909290,40FT,3700,IGCT,군산,내항,2025-06-21,2025-06-25,47000,전화 요망
ONEU2183244,40HQ,3900,SNCT,인천,외항,2025-06-04,,0,가격 문의 필요
EMCU2190052,40FT,3800,DGT,부산,외항,2025-06-17,,0,가격 문의 필요
TRIU8670442,40FT,4000,BPTG,부산,내항,2025-06-24,2025-06-29,42000,빠른 픽업 가능
OOLU6418474,40FT,3900,GWCT,광양,내항,2025-06-18,2025-06-21,42000,전화 요망
YMLU3623086,20FT,2100,SNCT,인천,외항,2025-06-01,,0,가격 문의 필요
TRIU2245734,40FT,4000,HBCT,부산,내항,2025-06-29,2025-07-02,42000,전화 요망
YMLU4317374,20FT,2500,PNC,부산,외항,2025-06-13,,0,가격 문의 필요
OOLU6663075,40FT,3600,BPTS,부산,내항,2025-06-03,2025-06-07,40000,확정 이후 연락
CMAU3168068,20FT,2400,BCT,부산,외항,2025-06-13,,0,가격 문의 필요
EMCU9855603,40HQ,4000,KIT,광양,내항,2025-06-13,2025-06-16,47000,확정 이후 연락
EMCU7363263,20FT,2300,BPTG,부산,내항,2025-06-01,2025-06-06,40000,야간 불가
FSCU7993745,40FT,3700,KIT,광양,내항,2025-06-04,2025-06-09,47000,전화 요망
HMMU8375510,20FT,2400,PCTC,평택,내항,2025-06-26,2025-06-29,45000,전화 요망
TCLU5065750,20FT,2100,KIT,광양,내항,2025-06-12,2025-06-15,47000,확정 이후 연락
TCLU1795849,40HQ,4200,PNC,부산,외항,2025-06-25,,0,가격 문의 필요
CMAU1468080,40FT,3600,ICT,인천,내항,2025-06-17,2025-06-20,47000,빠른 픽업 가능
YMLU1198800,40HQ,3800,PNCT,평택,내항,2025-06-24,2025-06-29,45000,확정 이후 연락
TCLU2693676,20FT,2100,IGCT,군산,내항,2025-06-10,2025-06-14,47000,전화 요망
YMLU9397316,40FT,3900,BCT,부산,외항,2025-06-22,,0,가격 문의 필요
ONEU6322903,40FT,3800,E1CT,인천,내항,2025-06-11,2025-06-16,40000,야간 불가
MAEU9761809,20FT,2300,E1CT,인천,내항,2025-06-29,2025-07-04,45000,확정 이후 연락
OOLU1431671,40FT,3800,BNCT,부산,외항,2025-06-07,,0,가격 문의 필요
YMLU4344244,20FT,2500,BPTS,부산,내항,2025-06-10,2025-06-14,40000,확정 이후 연락
HMMU7820548,40HQ,3800,PNC,부산,외항,2025-06-24,,0,가격 문의 필요
YMLU7695351,40HQ,4000,E1CT,인천,내항,2025-06-12,2025-06-15,42000,전화 요망
FSCU7941604,20FT,2300,UNCT,울산,내항,2025-06-17,2025-06-20,50000,야간 불가
HMMU3570184,40HQ,4100,ICT,인천,내항,2025-06-17,2025-06-21,50000,빠른 픽업 가능
CMAU5979508,20FT,2400,JUCT,울산,내항,2025-06-26,2025-06-30,40000,전화 요망
YMLU3756818,40HQ,4000,UNCT,울산,내항,2025-06-30,2025-07-05,45000,빠른 픽업 가능
MSCU7581056,40HQ,4000,PNC,부산,외항,2025-06-11,,0,가격 문의 필요
CMAU7938515,20FT,2300,IFT,인천,내항,2025-06-25,2025-06-30,47000,빠른 픽업 가능
OOLU4226569,20FT,2100,UNCT,울산,내항,2025-06-29,2025-07-02,50000,전화 요망
TRIU5486150,20FT,2200,PNCT,평택,내항,2025-06-18,2025-06-21,40000,야간 불가
EMCU5047985,40HQ,3800,UNCT,울산,내항,2025-06-27,2025-07-02,40000,확정 이후 연락
MSCU4483025,40HQ,3800,IFT,인천,내항,2025-06-01,2025-06-04,50000,야간 불가
OOLU1139409,40HQ,4200,BPTG,부산,내항,2025-06-07,2025-06-11,42000,확정 이후 연락
CMAU1733910,40HQ,4200,IFT,인천,내항,2025-06-29,2025-07-04,40000,확정 이후 연락
YMLU5452238,20FT,2100,PNIT,부산,외항,2025-06-05,,0,가격 문의 필요
HMMU8670091,40HQ,4200,IGCT,군산,내항,2025-06-08,2025-06-13,40000,야간 불가
OOLU3908584,40HQ,4100,PNC,부산,외항,2025-06-10,,0,가격 문의 필요
TRIU5514004,40FT,4000,BNCT,부산,외항,2025-06-06,,0,가격 문의 필요
HMMU3878157,20FT,2100,GWCT,광양,내항,2025-06-25,2025-06-29,42000,전화 요망
HMMU3749311,40FT,4000,HBCT,부산,내항,2025-06-03,2025-06-06,45000,전화 요망
EMCU5532394,40HQ,4000,KIT,광양,내항,2025-06-11,2025-06-15,47000,전화 요망
HMMU5655784,20FT,2100,DGT,부산,외항,2025-06-01,,0,가격 문의 필요
TCLU3855323,40FT,3600,DGT,부산,외항,2025-06-27,,0,가격 문의 필요
TCLU2602117,40HQ,3800,PCTC,평택,내항,2025-06-26,2025-07-01,42000,야간 불가
OOLU3419090,40HQ,3800,PNCT,평택,내항,2025-06-15,2025-06-19,42000,확정 이후 연락
CMAU2065166,40FT,3900,TOC,부산,내항,2025-06-11,2025-06-14,47000,빠른 픽업 가능
FSCU7275262,20FT,2500,KIT,광양,내항,2025-06-03,2025-06-06,47000,확정 이후 연락
MAEU4425723,20FT,2300,BNCT,부산,외항,2025-06-25,,0,가격 문의 필요
YMLU1964126,40HQ,4100,ICT,인천,내항,2025-06-30,2025-07-03,45000,전화 요망
TRIU1487243,20FT,2300,TOC,부산,내항,2025-06-24,2025-06-27,45000,전화 요망
TRIU7473686,40HQ,3900,HJIT,인천,외항,2025-06-15,,0,가격 문의 필요
TCLU9779412,40FT,3600,TOC,부산,내항,2025-06-18,2025-06-22,40000,빠른 픽업 가능
TRIU6794836,20FT,2200,PNCT,평택,내항,2025-06-14,2025-06-18,47000,야간 불가
EMCU6263979,40HQ,3900,BCT,부산,외항,2025-06-14,,0,가격 문의 필요
TRIU2781008,40HQ,4000,TOC,부산,내항,2025-06-22,2025-06-25,45000,확정 이후 연락
TCLU3887163,20FT,2100,HBCT,부산,내항,2025-06-06,2025-06-11,47000,야간 불가
CMAU4894283,20FT,2200,SNCT,인천,외항,2025-06-01,,0,가격 문의 필요
CMAU5358668,20FT,2500,IGCT,군산,내항,2025-06-05,2025-06-10,45000,전화 요망
TCLU8332071,20FT,2500,BPTS,부산,내항,2025-06-20,2025-06-24,40000,야간 불가
MAEU3784503,20FT,2500,TOC,부산,내항,2025-06-22,2025-06-27,42000,빠른 픽업 가능
FSCU4943659,40FT,4000,UNCT,울산,내항,2025-06-28,2025-07-01,50000,야간 불가
OOLU8592974,40HQ,4200,IGCT,군산,내항,2025-06-06,2025-06-10,42000,확정 이후 연락
HMMU6944863,40HQ,4200,KIT,광양,내항,2025-06-19,2025-06-24,40000,빠른 픽업 가능
TRIU8593238,40HQ,3800,GWCT,광양,내항,2025-06-06,2025-06-10,47000,확정 이후 연락
TRIU6220455,20FT,2200,PCTC,평택,내항,2025-06-17,2025-06-21,45000,전화 요망
ONEU4943052,40HQ,3900,SNCT,인천,외항,2025-06-02,,0,가격 문의 필요
TRIU4222037,40FT,3600,BPTG,부산,내항,2025-06-12,2025-06-17,50000,확정 이후 연락
FSCU9715784,40FT,3800,JUCT,울산,내항,2025-06-23,2025-06-27,40000,전화 요망
TRIU7493639,20FT,2300,ICT,인천,내항,2025-06-10,2025-06-15,40000,확정 이후 연락
MAEU4077499,40HQ,3900,PCTC,평택,내항,2025-06-17,2025-06-20,40000,확정 이후 연락
MAEU3926371,20FT,2100,UNCT,울산,내항,2025-06-03,2025-06-07,50000,야간 불가
MAEU6294053,40HQ,3900,IFT,인천,내항,2025-06-26,2025-06-30,45000,전화 요망
TCLU8590055,40FT,3700,BPTG,부산,내항,2025-06-01,2025-06-04,47000,확정 이후 연락
OOLU9879252,40FT,3700,SNCT,인천,외항,2025-06-11,,0,가격 문의 필요
YMLU7486630,40FT,3800,BPTG,부산,내항,2025-06-23,2025-06-26,47000,전화 요망
OOLU2585498,20FT,2200,PNC,부산,외항,2025-06-16,,0,가격 문의 필요
ONEU3793160,40FT,3800,PCTC,평택,내항,2025-06-21,2025-06-24,47000,빠른 픽업 가능
HMMU4101429,40HQ,4000,TOC,부산,내항,2025-06-11,2025-06-15,47000,야간 불가
FSCU3805128,20FT,2400,BPTS,부산,내항,2025-06-03,2025-06-06,45000,빠른 픽업 가능
CMAU8711093,40HQ,4000,PNCT,평택,내항,2025-06-15,2025-06-20,42000,야간 불가
ONEU7718254,40FT,3800,KIT,광양,내항,2025-06-15,2025-06-20,47000,빠른 픽업 가능
YMLU1393260,40FT,4000,SNCT,인천,외항,2025-06-15,,0,가격 문의 필요
YMLU5202186,40HQ,4000,JUCT,울산,내항,2025-06-19,2025-06-23,50000,빠른 픽업 가능
ONEU8966640,40FT,3700,KIT,광양,내항,2025-06-02,2025-06-07,42000,전화 요망
YMLU3502232,40HQ,3800,UNCT,울산,내항,2025-06-21,2025-06-26,50000,야간 불가
HMMU9751733,40FT,3700,HBCT,부산,내항,2025-06-06,2025-06-11,50000,확정 이후 연락
MAEU6768520,40HQ,4100,DGT,부산,외항,2025-06-15,,0,가격 문의 필요
YMLU5647027,40FT,3700,KIT,광양,내항,2025-06-08,2025-06-12,42000,빠른 픽업 가능
CMAU8088266,40HQ,4000,PNIT,부산,외항,2025-06-21,,0,가격 문의 필요
MAEU2876033,20FT,2300,IFT,인천,내항,2025-06-04,2025-06-07,47000,전화 요망
YMLU1744275,20FT,2100,PNCT,평택,내항,2025-06-21,2025-06-26,45000,전화 요망
FSCU1847227,40HQ,4100,PNIT,부산,외항,2025-06-18,,0,가격 문의 필요
MAEU1052692,40HQ,4200,GWCT,광양,내항,2025-06-28,2025-07-01,47000,전화 요망
TCLU7740340,40HQ,4200,BCT,부산,외항,2025-06-29,,0,가격 문의 필요
EMCU9212251,40HQ,3900,SNCT,인천,외항,2025-06-27,,0,가격 문의 필요
MSCU2497591,20FT,2500,DGT,부산,외항,2025-06-17,,0,가격 문의 필요
CMAU4959970,40HQ,3900,IFT,인천,내항,2025-06-24,2025-06-28,47000,야간 불가
ONEU7221366,40HQ,3900,PNCT,평택,내항,2025-06-12,2025-06-15,40000,야간 불가
TRIU8104578,40HQ,3900,SNCT,인천,외항,2025-06-26,,0,가격 문의 필요
MSCU2438972,20FT,2400,PCTC,평택,내항,2025-06-27,2025-07-02,50000,야간 불가
TRIU9422328,20FT,2500,BCT,부산,외항,2025-06-06,,0,가격 문의 필요
EMCU8042855,20FT,2100,BPTS,부산,내항,2025-06-13,2025-06-17,40000,전화 요망
CMAU4453889,20FT,2100,ICT,인천,내항,2025-06-07,2025-06-12,50000,빠른 픽업 가능
HMMU6362978,40HQ,4100,PNIT,부산,외항,2025-06-25,,0,가격 문의 필요
MAEU1831483,40HQ,3900,TOC,부산,내항,2025-06-13,2025-06-16,42000,야간 불가
HMMU1008031,40FT,3700,UNCT,울산,내항,2025-06-22,2025-06-27,45000,빠른 픽업 가능
TCLU3924616,20FT,2400,TOC,부산,내항,2025-06-27,2025-07-01,47000,전화 요망
MAEU8990668,20FT,2300,BPTG,부산,내항,2025-06-20,2025-06-23,40000,확정 이후 연락
CMAU2609291,40FT,3600,KIT,광양,내항,2025-06-03,2025-06-08,42000,빠른 픽업 가능
ONEU6058380,40FT,3800,PNC,부산,외항,2025-06-24,,0,가격 문의 필요
MAEU1811243,40HQ,3800,SNCT,인천,외항,2025-06-17,,0,가격 문의 필요
YMLU5207626,40HQ,4200,TOC,부산,내항,2025-06-04,2025-06-08,47000,빠른 픽업 가능
MSCU9986621,20FT,2300,IFT,인천,내항,2025-06-10,2025-06-15,45000,확정 이후 연락
MAEU4316422,40HQ,3900,IFT,인천,내항,2025-06-18,2025-06-21,45000,확정 이후 연락
YMLU4984965,20FT,2200,DGT,부산,외항,2025-06-28,,0,가격 문의 필요
ONEU4807799,20FT,2500,TOC,부산,내항,2025-06-27,2025-06-30,40000,확정 이후 연락
HMMU9200838,20FT,2300,E1CT,인천,내항,2025-06-25,2025-06-28,47000,빠른 픽업 가능
ONEU6947967,40FT,3900,PNC,부산,외항,2025-06-20,,0,가격 문의 필요
MAEU6545572,20FT,2300,ICT,인천,내항,2025-06-23,2025-06-26,45000,확정 이후 연락
OOLU8529979,40FT,3600,UNCT,울산,내항,2025-06-08,2025-06-12,50000,빠른 픽업 가능
CMAU7439820,40HQ,4200,E1CT,인천,내항,2025-06-19,2025-06-23,45000,빠른 픽업 가능
ONEU9901885,40FT,3900,GWCT,광양,내항,2025-06-15,2025-06-19,47000,확정 이후 연락
OOLU9064462,40HQ,4000,BPTS,부산,내항,2025-06-18,2025-06-23,50000,확정 이후 연락
MAEU6071360,20FT,2200,BPTG,부산,내항,2025-06-17,2025-06-22,47000,야간 불가
TRIU2759717,40HQ,3800,BNCT,부산,외항,2025-06-16,,0,가격 문의 필요
MAEU8957078,40FT,3600,BPTS,부산,내항,2025-06-18,2025-06-21,45000,확정 이후 연락
TCLU4324609,40FT,3900,UNCT,울산,내항,2025-06-28,2025-07-01,50000,야간 불가
HMMU7309706,40FT,4000,IGCT,군산,내항,2025-06-21,2025-06-25,42000,야간 불가
TRIU9021424,20FT,2300,PNC,부산,외항,2025-06-19,,0,가격 문의 필요
TCLU2940009,40FT,4000,PNCT,평택,내항,2025-06-21,2025-06-26,42000,야간 불가
CMAU9945838,40HQ,4200,UNCT,울산,내항,2025-06-30,2025-07-05,40000,야간 불가
OOLU6213125,40FT,3600,ICT,인천,내항,2025-06-01,2025-06-06,40000,확정 이후 연락
FSCU3520416,40HQ,3900,BNCT,부산,외항,2025-06-05,,0,가격 문의 필요
TCLU8094278,20FT,2100,PNIT,부산,외항,2025-06-27,,0,가격 문의 필요
FSCU5433319,20FT,2500,DGT,부산,외항,2025-06-26,,0,가격 문의 필요
TRIU2238682,40HQ,4100,BNCT,부산,외항,2025-06-12,,0,가격 문의 필요
YMLU4229487,40HQ,4100,DGT,부산,외항,2025-06-13,,0,가격 문의 필요
EMCU2286099,40FT,3900,SNCT,인천,외항,2025-06-25,,0,가격 문의 필요
HMMU8654215,40FT,3700,PCTC,평택,내항,2025-06-15,2025-06-20,45000,확정 이후 연락
CMAU9041449,40FT,3900,BPTG,부산,내항,2025-06-05,2025-06-08,50000,확정 이후 연락
TCLU4098802,20FT,2400,HJIT,인천,외항,2025-06-20,,0,가격 문의 필요
EMCU5933393,40FT,3800,E1CT,인천,내항,2025-06-10,2025-06-13,50000,빠른 픽업 가능
TCLU7181015,40HQ,3800,SNCT,인천,외항,2025-06-19,,0,가격 문의 필요
